#epoch loss_f loss_bc_u_top loss_bc_u_rest loss_bc_v u_avg u_std v_avg v_std
61 1.1406e-02 1.9376e-01 2.2438e-01 5.5741e-04 5.5806e-01 1.0970e-02 -2.7206e-02 8.1009e-03
62 1.1554e-02 1.9572e-01 2.2037e-01 5.5549e-04 5.5589e-01 1.1273e-02 -2.6931e-02 8.1428e-03
63 1.1699e-02 1.9764e-01 2.1645e-01 5.4930e-04 5.5380e-01 1.1575e-02 -2.6540e-02 8.1877e-03
64 1.1840e-02 1.9949e-01 2.1265e-01 5.3941e-04 5.5184e-01 1.1873e-02 -2.6044e-02 8.2359e-03
65 1.1975e-02 2.0125e-01 2.0899e-01 5.2639e-04 5.5000e-01 1.2167e-02 -2.5454e-02 8.2879e-03
66 1.2104e-02 2.0290e-01 2.0547e-01 5.1085e-04 5.4831e-01 1.2455e-02 -2.4779e-02 8.3440e-03
67 1.2226e-02 2.0442e-01 2.0213e-01 4.9339e-04 5.4680e-01 1.2736e-02 -2.4031e-02 8.4048e-03
68 1.2338e-02 2.0579e-01 1.9895e-01 4.7455e-04 5.4547e-01 1.3010e-02 -2.3217e-02 8.4704e-03
69 1.2440e-02 2.0700e-01 1.9596e-01 4.5486e-04 5.4433e-01 1.3276e-02 -2.2348e-02 8.5413e-03
70 1.2532e-02 2.0804e-01 1.9317e-01 4.3479e-04 5.4340e-01 1.3533e-02 -2.1430e-02 8.6176e-03
71 1.2613e-02 2.0889e-01 1.9056e-01 4.1477e-04 5.4269e-01 1.3781e-02 -2.0473e-02 8.6996e-03
72 1.2682e-02 2.0954e-01 1.8815e-01 3.9515e-04 5.4219e-01 1.4018e-02 -1.9482e-02 8.7875e-03
73 1.2739e-02 2.1000e-01 1.8594e-01 3.7625e-04 5.4193e-01 1.4245e-02 -1.8465e-02 8.8814e-03
74 1.2785e-02 2.1025e-01 1.8391e-01 3.5832e-04 5.4188e-01 1.4461e-02 -1.7427e-02 8.9815e-03
75 1.2818e-02 2.1029e-01 1.8208e-01 3.4156e-04 5.4207e-01 1.4665e-02 -1.6372e-02 9.0877e-03
76 1.2839e-02 2.1013e-01 1.8043e-01 3.2612e-04 5.4248e-01 1.4859e-02 -1.5306e-02 9.2002e-03
77 1.2849e-02 2.0977e-01 1.7895e-01 3.1212e-04 5.4310e-01 1.5043e-02 -1.4232e-02 9.3188e-03
78 1.2848e-02 2.0920e-01 1.7765e-01 2.9962e-04 5.4395e-01 1.5215e-02 -1.3154e-02 9.4437e-03
79 1.2837e-02 2.0844e-01 1.7650e-01 2.8867e-04 5.4499e-01 1.5378e-02 -1.2073e-02 9.5746e-03
80 1.2815e-02 2.0750e-01 1.7550e-01 2.7927e-04 5.4623e-01 1.5531e-02 -1.0993e-02 9.7115e-03
81 1.2784e-02 2.0638e-01 1.7463e-01 2.7143e-04 5.4766e-01 1.5674e-02 -9.9150e-03 9.8543e-03
82 1.2745e-02 2.0510e-01 1.7389e-01 2.6511e-04 5.4925e-01 1.5810e-02 -8.8401e-03 1.0003e-02
83 1.2698e-02 2.0367e-01 1.7326e-01 2.6028e-04 5.5101e-01 1.5939e-02 -7.7695e-03 1.0157e-02
84 1.2645e-02 2.0211e-01 1.7273e-01 2.5689e-04 5.5291e-01 1.6061e-02 -6.7040e-03 1.0316e-02
85 1.2586e-02 2.0041e-01 1.7229e-01 2.5489e-04 5.5495e-01 1.6177e-02 -5.6438e-03 1.0481e-02
86 1.2523e-02 1.9861e-01 1.7191e-01 2.5423e-04 5.5709e-01 1.6289e-02 -4.5892e-03 1.0651e-02
87 1.2457e-02 1.9672e-01 1.7160e-01 2.5484e-04 5.5935e-01 1.6398e-02 -3.5404e-03 1.0825e-02
88 1.2389e-02 1.9475e-01 1.7132e-01 2.5667e-04 5.6168e-01 1.6505e-02 -2.4971e-03 1.1004e-02
89 1.2320e-02 1.9271e-01 1.7107e-01 2.5967e-04 5.6410e-01 1.6611e-02 -1.4592e-03 1.1187e-02
90 1.2252e-02 1.9061e-01 1.7084e-01 2.6379e-04 5.6656e-01 1.6717e-02 -4.2638e-04 1.1374e-02
91 1.2185e-02 1.8848e-01 1.7061e-01 2.6898e-04 5.6908e-01 1.6824e-02 6.0150e-04 1.1565e-02
92 1.2121e-02 1.8632e-01 1.7036e-01 2.7520e-04 5.7163e-01 1.6934e-02 1.6248e-03 1.1760e-02
93 1.2061e-02 1.8415e-01 1.7010e-01 2.8241e-04 5.7419e-01 1.7047e-02 2.6439e-03 1.1958e-02
94 1.2007e-02 1.8198e-01 1.6980e-01 2.9058e-04 5.7677e-01 1.7164e-02 3.6591e-03 1.2160e-02
95 1.1958e-02 1.7980e-01 1.6946e-01 2.9968e-04 5.7935e-01 1.7286e-02 4.6707e-03 1.2364e-02
96 1.1917e-02 1.7764e-01 1.6906e-01 3.0969e-04 5.8192e-01 1.7415e-02 5.6792e-03 1.2572e-02
97 1.1885e-02 1.7551e-01 1.6861e-01 3.2058e-04 5.8447e-01 1.7550e-02 6.6849e-03 1.2782e-02
98 1.1862e-02 1.7339e-01 1.6809e-01 3.3234e-04 5.8700e-01 1.7692e-02 7.6881e-03 1.2995e-02
99 1.1850e-02 1.7131e-01 1.6750e-01 3.4496e-04 5.8951e-01 1.7843e-02 8.6894e-03 1.3211e-02
100 1.1850e-02 1.6927e-01 1.6683e-01 3.5843e-04 5.9199e-01 1.8001e-02 9.6891e-03 1.3429e-02
101 1.1861e-02 1.6726e-01 1.6609e-01 3.7276e-04 5.9443e-01 1.8169e-02 1.0688e-02 1.3650e-02
102 1.1886e-02 1.6529e-01 1.6526e-01 3.8795e-04 5.9684e-01 1.8345e-02 1.1686e-02 1.3873e-02
103 1.1925e-02 1.6335e-01 1.6436e-01 4.0400e-04 5.9922e-01 1.8530e-02 1.2684e-02 1.4098e-02
104 1.1978e-02 1.6146e-01 1.6338e-01 4.2093e-04 6.0157e-01 1.8724e-02 1.3684e-02 1.4326e-02
105 1.2047e-02 1.5960e-01 1.6233e-01 4.3876e-04 6.0389e-01 1.8926e-02 1.4685e-02 1.4556e-02
106 1.2132e-02 1.5778e-01 1.6121e-01 4.5750e-04 6.0618e-01 1.9138e-02 1.5688e-02 1.4788e-02
107 1.2234e-02 1.5599e-01 1.6002e-01 4.7719e-04 6.0845e-01 1.9358e-02 1.6695e-02 1.5022e-02
108 1.2354e-02 1.5422e-01 1.5878e-01 4.9784e-04 6.1071e-01 1.9585e-02 1.7707e-02 1.5258e-02
109 1.2491e-02 1.5248e-01 1.5748e-01 5.1951e-04 6.1295e-01 1.9821e-02 1.8724e-02 1.5495e-02
110 1.2647e-02 1.5076e-01 1.5614e-01 5.4221e-04 6.1519e-01 2.0063e-02 1.9747e-02 1.5735e-02
111 1.2823e-02 1.4906e-01 1.5476e-01 5.6599e-04 6.1742e-01 2.0311e-02 2.0779e-02 1.5975e-02
112 1.3018e-02 1.4736e-01 1.5334e-01 5.9089e-04 6.1966e-01 2.0566e-02 2.1818e-02 1.6218e-02
113 1.3233e-02 1.4567e-01 1.5191e-01 6.1695e-04 6.2191e-01 2.0825e-02 2.2868e-02 1.6461e-02
114 1.3469e-02 1.4399e-01 1.5047e-01 6.4421e-04 6.2419e-01 2.1089e-02 2.3928e-02 1.6705e-02
115 1.3726e-02 1.4230e-01 1.4902e-01 6.7269e-04 6.2648e-01 2.1356e-02 2.4999e-02 1.6950e-02
116 1.4004e-02 1.4060e-01 1.4757e-01 7.0244e-04 6.2880e-01 2.1627e-02 2.6083e-02 1.7195e-02
117 1.4305e-02 1.3889e-01 1.4613e-01 7.3349e-04 6.3116e-01 2.1899e-02 2.7180e-02 1.7440e-02
118 1.4628e-02 1.3717e-01 1.4471e-01 7.6586e-04 6.3356e-01 2.2174e-02 2.8289e-02 1.7685e-02
119 1.4973e-02 1.3543e-01 1.4331e-01 7.9955e-04 6.3599e-01 2.2449e-02 2.9411e-02 1.7929e-02
120 1.5342e-02 1.3368e-01 1.4194e-01 8.3458e-04 6.3847e-01 2.2725e-02 3.0546e-02 1.8172e-02
121 1.5733e-02 1.3190e-01 1.4060e-01 8.7093e-04 6.4099e-01 2.3001e-02 3.1692e-02 1.8414e-02
122 1.6148e-02 1.3011e-01 1.3929e-01 9.0860e-04 6.4356e-01 2.3277e-02 3.2850e-02 1.8653e-02
123 1.6585e-02 1.2830e-01 1.3803e-01 9.4753e-04 6.4617e-01 2.3552e-02 3.4017e-02 1.8890e-02
124 1.7046e-02 1.2647e-01 1.3681e-01 9.8767e-04 6.4883e-01 2.3827e-02 3.5191e-02 1.9124e-02
125 1.7529e-02 1.2462e-01 1.3562e-01 1.0290e-03 6.5152e-01 2.4101e-02 3.6371e-02 1.9354e-02
126 1.8035e-02 1.2276e-01 1.3448e-01 1.0713e-03 6.5425e-01 2.4374e-02 3.7554e-02 1.9581e-02
127 1.8561e-02 1.2090e-01 1.3338e-01 1.1146e-03 6.5700e-01 2.4647e-02 3.8736e-02 1.9803e-02
128 1.9109e-02 1.1903e-01 1.3233e-01 1.1587e-03 6.5978e-01 2.4920e-02 3.9915e-02 2.0021e-02
129 1.9675e-02 1.1716e-01 1.3131e-01 1.2034e-03 6.6257e-01 2.5193e-02 4.1086e-02 2.0234e-02
